Temperature,Humidity,Water Level,Status
27.3,81,1.5,1
27.3,81,1.5,1
27.3,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.8,80,1.5,1
27.8,80,1.5,1
27.8,81,1.5,1
27.8,81,1.5,1
27.8,81,1.5,1
27.8,81,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.4,81,1.5,1
28.4,80,1.5,1
28.4,80,1.5,1
28.4,80,1.5,1
28.4,80,1.5,1
28.4,80,1.5,1
28.5,80,1.5,1
28.5,80,1.5,1
28.7,80,1.5,1
28.7,80,1.5,1
29.3,80,1.5,1
29.3,80,1.5,1
29.3,80,1.5,1
29.7,80,1.5,1
29.7,79,1.5,1
29.7,79,1.5,1
30.1,79,1.5,1
30.1,79,1.5,1
30.1,79,1.5,1
30.1,79,1.5,1
30.6,79,1.5,1
30.6,79,1.5,1
30.6,79,1.5,1
30.6,79,1.5,1
30.6,78,1.5,1
31.2,78,1.5,1
31.2,78,1.5,1
31.2,78,1.5,1
31.4,78,1.5,1
31.4,78,1.5,1
31.4,77,1.5,1
31.7,77,1.5,1
31.7,77,1.5,1
31.7,77,1.5,1
31.7,77,1.5,1
31.6,77,1.5,1
31.6,77,1.5,1
31.6,77,1.5,1
30.6,77,1.5,1
30.6,77,1.5,1
30.6,77,1.5,1
31.3,79,1.5,1
31.1,79,1.5,1
30,79,1.5,1
30,79,1.5,1
29.8,79,1.5,1
29.8,79,1.5,1
29.8,79,1.5,1
29.5,79,1.5,1
29.5,79,1.5,1
29.5,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
29.3,79,1.5,1
28.6,79,1.5,1
28.6,79,1.5,1
28.6,79,1.5,1
28.1,79,1.5,1
28.1,79,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.6,80,1.5,1
27.4,80,1.5,1
27.4,80,1.5,1
26.9,80,1.5,1
26.9,80,1.5,1
26.9,80,1.5,1
26.8,80,1.5,1
26.8,82,1.5,1
26.8,82,1.5,1
26.4,82,1.5,1
26.4,82,1.5,1
26.4,82,1.5,1
26.4,82,1.5,1
26.4,82,1.5,1
26.4,82,1.5,1
26.8,82,1.5,1
26.8,82,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26,83,1.5,1
26,83,1.5,1
26,83,1.5,1
26.4,83,1.5,1
26.4,83,1.5,1
26.1,79,1.5,1
26.1,79,1.5,1
26.1,79,1.5,1
26.2,79,1.5,1
26.2,79,1.5,1
26.2,79,1.5,1
26.3,79,1.5,1
26.3,79,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,84,1.5,1
26.7,84,1.5,1
26.7,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,83,1.5,1
26.8,83,1.5,1
